,,,,,,,,,10日,5日,10日,,,,,
最新价,今日涨跌,代码,,名称,,板块,5日涨跌,,10日涨跌,主力净占比,主力净占比,,,,,
f2,f3,f12,f13,f14,f62,f100,f109,f124,f160,f165,f175,f184,f225,f263,f264,f265
4.11,0.24,300262,0,巴安水务,2375767,环保工程,1.73,1592551863,0.98,-3.48,-4.57,12.36,184,2501,2880,BK0728
5.04,2.65,600306,1,*ST商城,2930755,商业百货,-0.4,1592552392,27.27,0.37,2.08,12.35,185,1085,392,BK0482
10.66,1.04,600070,1,浙江富润,15996521,电子信息,0.85,1592552393,13.65,0.1,5.34,12.3,186,1166,99,BK0447
97,1.12,2985,0,北摩高科,45059071,航天航空,-6.61,1592551863,3.85,-5.15,-1.72,12.3,187,2971,1623,BK0480
7.72,0.78,601007,1,金陵饭店,1472299,旅游酒店,-0.13,1592552394,-1.53,2.73,0.07,12.28,188,523,862,BK0485
125.25,4.39,300033,0,同花顺,273693476,软件服务,4.51,1592551863,10.88,3.52,4.45,12.25,189,392,148,BK0737
2.87,1.06,600172,1,黄河旋风,4624500,材料行业,0.7,1592552393,0,-3.28,-5.27,12.2,190,2428,3108,BK0537
5.28,2.72,2105,0,信隆健康,8088601,文教休闲,3.94,1592551863,-13.01,-0.39,-8.8,12.18,191,1363,3736,BK0740
8.14,2.26,728,0,国元证券,37770606,券商信托,3.96,1592551863,0.25,1.4,-3.7,12.11,192,794,2558,BK0473
89.18,5.29,603259,1,药明康德,260901330,医疗行业,7.21,1592552400,9.06,1.5,-0.37,12.11,193,769,1019,BK0727
13.13,2.02,603633,1,徕木股份,9586696,电子元件,6.32,1592552383,-4.79,3.93,-2.51,12.05,194,332,2009,BK0459
165.57,4.55,858,0,五 粮 液,763053616,酿酒行业,2.52,1592551863,3.42,-1.63,-2.03,12.03,195,1818,1777,BK0477
9.94,3.01,2905,0,金逸影视,12971705,文化传媒,-7.02,1592551863,-13.57,-6.5,-5.64,12.02,196,3284,3219,BK0486
2.62,0.38,2132,0,恒星科技,2449127,金属制品,0,1592551863,0.38,11.79,6.4,12.02,197,35,68,BK0739
52.64,1.9,603899,1,晨光文具,34493445,文教休闲,0.08,1592552379,-2.59,0.12,-1.96,12,198,1164,1743,BK0740
10.5,2.94,601108,1,财通证券,145353860,券商信托,5,1592552401,1.35,2.47,-1.71,11.99,199,567,1614,BK0473
9.75,10.05,300392,0,腾信股份,47592102,文化传媒,14.57,1592551863,18.47,2.02,2.17,11.96,200,664,377,BK0486
9.82,9.97,603289,1,泰瑞机器,18466604,专用设备,19.03,1592552385,20.34,9.04,4.99,11.96,201,72,120,BK0910
3.94,0.25,2420,0,*ST毅昌,867289,家电行业,1.29,1592551863,-6.86,-7.12,-11.14,11.94,202,3397,3873,BK0456
3.65,1.96,600020,1,中原高速,5422017,高速公路,0.83,1592552382,-0.27,1.35,0.97,11.93,203,807,610,BK0421
3.19,0.31,861,0,海印股份,9002038,房地产,-2.15,1592551863,-0.31,2.04,7.59,11.86,204,660,45,BK0451
3.44,3.3,2239,0,奥特佳,61454000,汽车行业,-1.15,1592551863,7.5,-1.39,0.33,11.84,205,1720,774,BK0481
7.04,1.59,601901,1,方正证券,41780978,券商信托,2.18,1592552389,-0.28,2.85,-0.65,11.79,206,499,1120,BK0473
4.35,1.16,2510,0,天汽模,10134773,汽车行业,-2.03,1592551863,-1.14,1.76,0.49,11.78,207,715,744,BK0481
62.35,7.57,2989,0,中天精装,147337631,装修装饰,45.95,1592551863,154.28,14.3,14.56,11.75,208,20,9,BK0725
