f2,f3,f12,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
28.9,0.87,300395,菲利华,-954188.0,1032080.0,1.35,-1986268.0,-2.6,-3860538.0,-5.05,4814726.0,6.3,1592551863,-1.25,-,-,-
7.8,-0.64,000968,蓝焰控股,-954675.0,0.0,0.0,-954675.0,-3.38,-1113618.0,-3.95,2068293.0,7.33,1592551863,-3.38,-,-,-
29.11,6.51,300518,盛讯达,-960354.0,2634132.0,1.9,-3594486.0,-2.59,2312228.0,1.66,-1351876.0,-0.97,1592551863,-0.69,-,-,-
20.32,0.35,603458,勘设股份,-961854.0,-86124.0,-0.17,-875730.0,-1.73,-753430.0,-1.49,1715285.0,3.38,1592552383,-1.9,-,-,-
3.79,-0.52,002721,金一文化,-964197.0,1744729.0,9.42,-2708926.0,-14.63,-1533420.0,-8.28,2497616.0,13.49,1592551863,-5.21,-,-,-
9.12,-0.65,002761,多喜爱,-967879.0,0.0,0.0,-967879.0,-2.77,-252038.0,-0.72,1219917.0,3.49,1592551863,-2.77,-,-,-
9.36,-0.53,002293,罗莱生活,-970149.0,0.0,0.0,-970149.0,-5.06,136614.0,0.71,833534.0,4.35,1592551863,-5.06,-,-,-
20.42,-0.39,300796,贝斯美,-982090.0,0.0,0.0,-982090.0,-4.07,-728664.0,-3.02,1710754.0,7.1,1592551863,-4.07,-,-,-
3.26,-1.21,600780,通宝能源,-993037.0,0.0,0.0,-993037.0,-8.41,694287.0,5.88,298750.0,2.53,1592552377,-8.41,-,-,-
3.35,0.0,600853,龙建股份,-997909.0,-1124753.0,-5.65,126844.0,0.64,413019.0,2.07,584891.0,2.94,1592552393,-5.01,-,-,-
9.14,0.33,000697,炼石航空,-999261.0,0.0,0.0,-999261.0,-4.01,629378.0,2.53,369883.0,1.48,1592551863,-4.01,-,-,-
1.33,-2.21,002535,*ST林重,-999767.0,7102.0,0.06,-1006869.0,-8.48,357824.0,3.01,641943.0,5.41,1592551863,-8.42,-,-,-
10.86,0.37,002322,理工环科,-1000373.0,0.0,0.0,-1000373.0,-6.79,806195.0,5.47,194178.0,1.32,1592551863,-6.79,-,-,-
3.14,0.64,002325,洪涛股份,-1003762.0,-49766.0,-0.25,-953996.0,-4.86,534507.0,2.72,469256.0,2.39,1592551863,-5.11,-,-,-
9.75,-0.2,603966,法兰泰克,-1006780.0,0.0,0.0,-1006780.0,-6.82,-11672.0,-0.08,1018453.0,6.9,1592552380,-6.82,-,-,-
12.99,0.93,300540,深冷股份,-1010428.0,-1311970.0,-4.89,301542.0,1.12,-518635.0,-1.93,1529064.0,5.7,1592551863,-3.77,-,-,-
50.77,1.62,688208,道通科技,-1014700.0,1126215.0,1.69,-2140915.0,-3.2,608393.0,0.91,406307.0,0.61,1592552379,-1.52,-,-,-
14.51,-1.36,603898,好莱客,-1015244.0,0.0,0.0,-1015244.0,-4.95,-2589788.0,-12.63,3605032.0,17.58,1592552376,-4.95,-,-,-
92.85,1.39,688080,映翰通,-1018996.0,-206382.0,-0.16,-812614.0,-0.61,6213613.0,4.69,-5194616.0,-3.92,1592552394,-0.77,-,-,-
23.65,0.64,300790,宇瞳光学,-1019737.0,0.0,0.0,-1019737.0,-1.18,2153848.0,2.5,-1134110.0,-1.31,1592551863,-1.18,-,-,-
15.09,0.6,601595,上海电影,-1022180.0,0.0,0.0,-1022180.0,-2.33,897346.0,2.05,124834.0,0.28,1592552392,-2.33,-,-,-
2.41,-0.82,600159,大龙地产,-1023614.0,0.0,0.0,-1023614.0,-8.57,1018165.0,8.52,5450.0,0.05,1592552382,-8.57,-,-,-
18.69,0.32,603326,我乐家居,-1025010.0,0.0,0.0,-1025010.0,-3.34,-2283934.0,-7.44,3308944.0,10.78,1592552403,-3.34,-,-,-
3.54,-0.56,000611,*ST天首,-1028562.0,0.0,0.0,-1028562.0,-23.58,66670.0,1.53,961893.0,22.05,1592551863,-23.58,-,-,-
8.44,0.24,603615,茶花股份,-1030149.0,0.0,0.0,-1030149.0,-7.74,459551.0,3.45,570599.0,4.29,1592552394,-7.74,-,-,-
6.94,-0.29,300364,中文在线,-1030419.0,12362781.0,1.69,-13393200.0,-1.83,-12249978.0,-1.67,13280396.0,1.81,1592551863,-0.14,-,-,-
6.06,0.0,603817,海峡环保,-1032133.0,0.0,0.0,-1032133.0,-8.83,779501.0,6.67,252632.0,2.16,1592552379,-8.83,-,-,-
14.72,0.07,603970,中农立华,-1034453.0,-804935.0,-2.68,-229518.0,-0.76,1574529.0,5.24,-540075.0,-1.8,1592552385,-3.44,-,-,-
2.2,0.0,000809,铁岭新城,-1037590.0,0.0,0.0,-1037590.0,-12.97,415035.0,5.19,622555.0,7.78,1592551863,-12.97,-,-,-
9.99,0.3,300447,全信股份,-1039075.0,0.0,0.0,-1039075.0,-6.16,395176.0,2.34,643899.0,3.82,1592551863,-6.16,-,-,-
3.6,0.28,600767,ST运盛,-1039157.0,0.0,0.0,-1039157.0,-19.93,633084.0,12.14,406073.0,7.79,1592552391,-19.93,-,-,-
13.68,-0.36,300708,聚灿光电,-1040025.0,0.0,0.0,-1040025.0,-2.21,-1957079.0,-4.16,2997104.0,6.37,1592551863,-2.21,-,-,-
13.68,-0.58,002380,科远智慧,-1042784.0,0.0,0.0,-1042784.0,-4.89,-26331.0,-0.12,1069115.0,5.01,1592551863,-4.89,-,-,-
1.83,0.0,600653,申华控股,-1044132.0,-831867.0,-10.5,-212265.0,-2.68,133683.0,1.69,910450.0,11.49,1592552401,-13.18,-,-,-
6.21,0.49,002307,北新路桥,-1045504.0,-1070657.0,-1.28,25153.0,0.03,-2949319.0,-3.53,3994823.0,4.78,1592551863,-1.25,-,-,-
